URL_ID,Article_Title,Polarity_Score,Subjectivity_Score
bctech2011,ML and AI-based insurance premium model to predict premium to be charged by the insurance company - Blackcoffer Insights,0.0,0.0
bctech2012,Streamlined Integration: Interactive Brokers API with Python for Desktop Trading Application - Blackcoffer Insights,0.0,0.0
bctech2013,Efficient Data Integration and User-Friendly Interface Development: Navigating Challenges in Web Application Deployment - Blackcoffer Insights,0.0,0.0
bctech2014,"Effective Management of Social Media Data Extraction: Strategies for Authentication, Security, and Reliability - Blackcoffer Insights",0.31666666666666665,0.43333333333333335
bctech2015,Streamlined Trading Operations Interface for MetaTrader 4: Empowering Efficient Management and Monitoring - Blackcoffer Insights,0.0,0.0
bctech2016,"Efficient AWS Infrastructure Setup and Management: Addressing Security, Scalability, and Compliance - Blackcoffer Insights",0.0,0.0
bctech2017,Streamlined Equity Waterfall Calculation and Deal Management System - Blackcoffer Insights,0.0,0.0
bctech2018,Automated Orthopedic Case Report Generation: Harnessing Web Scraping and AI Integration - Blackcoffer Insights,0.0,0.0
bctech2019,Streamlining Time Calculation in Warehouse Management: Leveraging ShipHero API and Google BigQuery Integration - Blackcoffer Insights,0.0,0.0
bctech2020,Efficient Database Design and Management: Streamlining Access and Integration for Partner Entity Management - Blackcoffer Insights,0.0,0.0
bctech2021,Automated Campaign Management System: A Comprehensive Solution with LinkedIn and Email Integration - Blackcoffer Insights,0.0,0.0
bctech2022,AI-driven data analysis AI tool using Langchain for a leading real estate and financing firm worldwide - Blackcoffer Insights,0.0,0.35000000000000003
bctech2023,Grafana Dashboard to visualize and analyze sensors’ data - Blackcoffer Insights,0.0,0.0
bctech2024,MVP for a software that analyses content from audio (Pharma-based) - Blackcoffer Insights,0.0,0.0
bctech2025,Data Engineering and Management tool (Airbyte) with custom data connectors to manage CRM database - Blackcoffer Insights,0.0,0.0
bctech2026,Text Summarizing Tool to scrape and summarize pubmed medical papers  - Blackcoffer Insights,0.0,0.0
